CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
42 Coin,Scrypt,True,PoW/PoS,0.0,0.0
300 token,N/A,True,N/A,300.0,300.0
365Coin,X11,True,PoW/PoS,0.0,0.0
404Coin,Scrypt,True,PoW/PoS,0.0,0.0
433 Token,N/A,False,N/A,,
SixEleven,SHA-256,True,PoW,0.0,0.0
808,SHA-256,True,PoW/PoS,0.0,0.0
Octocoin,N/A,True,PoW,0.0,0.0
EliteCoin,X13,True,PoW/PoS,0.0,0.0
2015 coin,X11,True,PoW/PoS,0.0,0.0
BitcoinDark,SHA-256,True,PoW/PoS,,
CraigsCoin,X11,True,PoS,,
Bitstake,X11,True,PoW/PoS,,
PayCoin,SHA-256,True,PoS,,
ProsperCoin,Scrypt,True,PoW,,
YbCoin,Multiple,True,PoS,,
DarkKush,X13,True,PoW/PoS,,
GiveCoin,X11,True,PoW,,
KoboCoin,X15,True,PoW/PoS,,
DarkToken,NIST5,True,PoW/PoS,,
CETUS Coin,Scrypt,True,PoW/PoS,,
Supcoin,N/A,True,PoW,,
PetroDollar,SHA-256D,True,N/A,0.0,-1.0
GeoCoin,N/A,True,N/A,0.0,0.0
CleverHash,N/A,True,N/A,,
NXTI,N/A,True,N/A,,
Insanity Coin,X11,True,PoW,,
DogeParty,N/A,True,N/A,,
Asia Coin,Scrypt,True,PoS,,
ACoin,SHA-256,True,PoW,0.0,0.0
Aero Coin,X13,True,PoS,,
AlphaCoin,Scrypt,True,PoW,,
Aegis,X13,False,PoS,,
AlienCoin,Scrypt,True,PoW,,
ApexCoin,X13,True,PoW/PoS,,
ArchCoin,Scrypt,True,PoS,,
Argentum,Scrypt,True,PoW,,
AriCoin,Scrypt,True,PoW,,
AXRON,N/A,True,N/A,,
BeanCash,SHA-256,True,PoW/PoS,,
BlueCoin,Scrypt,True,PoW/PoS,,
BoostCoin,X13,True,PoW/PoS,,
BQCoin,Scrypt,True,PoW,,
MyriadCoin,Multiple,True,PoW,0.0,2000000000.0
ZetaCoin,SHA-256,True,PoW,,
SexCoin,Scrypt,True,PoW,0.0,0.0
Quatloo,Scrypt,True,PoW,,
EnergyCoin,Scrypt,True,PoW/PoS,,
Riecoin,Groestl,True,PoW,,
LimeCoinX,X11,True,PoW,,
BitBar,Scrypt,True,PoW/PoS,,
CAIx,Scrypt,True,PoS,,
BitMark,Scrypt,True,PoW,,
CryptoBuk,Scrypt,True,PoW/PoS,,
Cachecoin,Scrypt,True,PoW,,
CannabisCoin,X11,True,PoW,0.0,0.0
BottleCaps,Scrypt,True,PoW/PoS,,
CashCoin,Scrypt,True,PoW/PoS,,
CryptoBullion,Scrypt,True,PoW/PoS,,
CannaCoin,Scrypt,True,PoW,,
CinderCoin,Multiple,True,PoW/PoS,,
CINNICOIN,Scrypt,True,PoW,,
CheckCoin,N/A,True,PoS,,
CLAMS,PoS,True,PoS,,
CopperLark,SHA-256,True,PoW,,
